P,I,D
0.3,13.408163265306122,17.692307692307693
0.3,13.408163265306122,17.94871794871795
0.3,13.408163265306122,18.205128205128204
0.3,13.408163265306122,18.46153846153846
0.3,13.408163265306122,18.717948717948715
0.3,13.408163265306122,18.974358974358974
0.3,13.408163265306122,19.23076923076923
0.3,13.408163265306122,19.487179487179485
0.3,13.408163265306122,19.743589743589745
0.3,13.408163265306122,20.0
0.3,13.877551020408163,10.0
0.3,13.877551020408163,10.256410256410255
0.3,13.877551020408163,10.512820512820513
0.3,13.877551020408163,10.76923076923077
0.3,13.877551020408163,11.025641025641026
0.3,13.877551020408163,11.282051282051281
0.3,13.877551020408163,11.538461538461538
0.3,13.877551020408163,11.794871794871796
0.3,13.877551020408163,12.051282051282051
0.3,13.877551020408163,12.307692307692307
0.3,13.877551020408163,12.564102564102564
0.3,13.877551020408163,12.820512820512821
0.3,13.877551020408163,13.076923076923077
0.3,13.877551020408163,13.333333333333332
0.3,13.877551020408163,13.58974358974359
0.3,13.877551020408163,13.846153846153847
0.3,13.877551020408163,14.102564102564102
0.3,13.877551020408163,14.358974358974358
0.3,13.877551020408163,14.615384615384615
0.3,13.877551020408163,14.871794871794872
0.3,13.877551020408163,15.128205128205128
0.3,13.877551020408163,15.384615384615383
0.3,13.877551020408163,15.64102564102564
0.3,13.877551020408163,15.897435897435898
0.3,13.877551020408163,16.153846153846153
0.3,13.877551020408163,16.41025641025641
0.3,13.877551020408163,16.666666666666664
0.3,13.877551020408163,16.923076923076923
0.3,13.877551020408163,17.17948717948718
0.3,13.877551020408163,17.435897435897434
0.3,13.877551020408163,17.692307692307693
0.3,13.877551020408163,17.94871794871795
0.3,13.877551020408163,18.205128205128204
0.3,13.877551020408163,18.46153846153846
0.3,13.877551020408163,18.717948717948715
0.3,13.877551020408163,18.974358974358974
0.3,13.877551020408163,19.23076923076923
0.3,13.877551020408163,19.487179487179485
0.3,13.877551020408163,19.743589743589745
0.3,13.877551020408163,20.0
0.3,14.346938775510203,10.0
0.3,14.346938775510203,10.256410256410255
0.3,14.346938775510203,10.512820512820513
0.3,14.346938775510203,10.76923076923077
0.3,14.346938775510203,11.025641025641026
0.3,14.346938775510203,11.282051282051281
0.3,14.346938775510203,11.538461538461538
0.3,14.346938775510203,11.794871794871796
0.3,14.346938775510203,12.051282051282051
0.3,14.346938775510203,12.307692307692307
0.3,14.346938775510203,12.564102564102564
0.3,14.346938775510203,12.820512820512821
0.3,14.346938775510203,13.076923076923077
0.3,14.346938775510203,13.333333333333332
0.3,14.346938775510203,13.58974358974359
0.3,14.346938775510203,13.846153846153847
0.3,14.346938775510203,14.102564102564102
0.3,14.346938775510203,14.358974358974358
0.3,14.346938775510203,14.615384615384615
0.3,14.346938775510203,14.871794871794872
0.3,14.346938775510203,15.128205128205128
0.3,14.346938775510203,15.384615384615383
0.3,14.346938775510203,15.64102564102564
0.3,14.346938775510203,15.897435897435898
0.3,14.346938775510203,16.153846153846153
0.3,14.346938775510203,16.41025641025641
0.3,14.346938775510203,16.666666666666664
0.3,14.346938775510203,16.923076923076923
0.3,14.346938775510203,17.17948717948718
0.3,14.346938775510203,17.435897435897434
0.3,14.346938775510203,17.692307692307693
0.3,14.346938775510203,17.94871794871795
0.3,14.346938775510203,18.205128205128204
0.3,14.346938775510203,18.46153846153846
0.3,14.346938775510203,18.717948717948715
0.3,14.346938775510203,18.974358974358974
0.3,14.346938775510203,19.23076923076923
0.3,14.346938775510203,19.487179487179485
0.3,14.346938775510203,19.743589743589745
0.3,14.346938775510203,20.0
0.3,14.816326530612244,10.0
0.3,14.816326530612244,10.256410256410255
0.3,14.816326530612244,10.512820512820513
0.3,14.816326530612244,10.76923076923077
0.3,14.816326530612244,11.025641025641026
0.3,14.816326530612244,11.282051282051281
0.3,14.816326530612244,11.538461538461538
0.3,14.816326530612244,11.794871794871796
0.3,14.816326530612244,12.051282051282051
0.3,14.816326530612244,12.307692307692307
0.3,14.816326530612244,12.564102564102564
0.3,14.816326530612244,12.820512820512821
0.3,14.816326530612244,13.076923076923077
0.3,14.816326530612244,13.333333333333332
0.3,14.816326530612244,13.58974358974359
0.3,14.816326530612244,13.846153846153847
0.3,14.816326530612244,14.102564102564102
0.3,14.816326530612244,14.358974358974358
0.3,14.816326530612244,14.615384615384615
0.3,14.816326530612244,14.871794871794872
0.3,14.816326530612244,15.128205128205128
0.3,14.816326530612244,15.384615384615383
0.3,14.816326530612244,15.64102564102564
0.3,14.816326530612244,15.897435897435898
0.3,14.816326530612244,16.153846153846153
0.3,14.816326530612244,16.41025641025641
0.3,14.816326530612244,16.666666666666664
0.3,14.816326530612244,16.923076923076923
0.3,14.816326530612244,17.17948717948718
0.3,14.816326530612244,17.435897435897434
0.3,14.816326530612244,17.692307692307693
0.3,14.816326530612244,17.94871794871795
0.3,14.816326530612244,18.205128205128204
0.3,14.816326530612244,18.46153846153846
0.3,14.816326530612244,18.717948717948715
0.3,14.816326530612244,18.974358974358974
0.3,14.816326530612244,19.23076923076923
0.3,14.816326530612244,19.487179487179485
0.3,14.816326530612244,19.743589743589745
0.3,14.816326530612244,20.0
0.3,15.285714285714286,10.0
0.3,15.285714285714286,10.256410256410255
